namaMK,deskripsiMK
Machine Learning,"['mesin', 'ajar', 'ajar', 'mesin', 'mesin', 'ajar', 'aplikasi', 'algoritma', 'mesin', 'ajar', 'keputusan', 'informasi', 'sedia', 'mesin', 'ajar', 'algoritma', 'ajar', 'pohon', 'keputusan', 'algoritma', 'teori', 'algoritma', 'jaringan', 'saraf', 'tiru', 'algoritma', 'ensemble', 'reduksi', 'dimensi', 'ajar', 'mesin', 'mesin', 'ajar', 'teori', 'teori', 'ajar', 'mesin', 'susun', 'algoritma', 'ajar', 'mesin', 'mesin', 'ajar', 'matematika', 'ajar', 'mesin', 'mesin', 'ajar', 'algoritma', 'ajar', 'mesin', 'mesin', 'ajar', 'aplikasi', 'cerdas', 'cerdas', 'teknologi', 'ajar', 'mesin', 'mesin', 'ajar', 'cerdas', 'cerdas', 'metode', 'ajar', 'mesin', 'mesin', 'ajar', 'ajar', 'kelompok', 'jarak', 'minimal', 'metode', 'klasifikasi', 'jarak', 'metode', 'mesin', 'ajar', 'klasifikasi', 'keputusan', 'metode', 'mesin', 'ajar', 'parameter', 'mesin', 'ajar', 'metode', 'multivariat', 'metode', 'dimensi', 'metode', 'kelompok', 'metode', 'non', 'parameter', 'metode', 'pohon', 'keputusan', 'diskrit', 'linier', 'jaringan', 'saraf', 'tiru', 'jaringan', 'saraf', 'tiru', 'lapis', 'kernel', 'mesin', 'metode', 'mesin', 'vektor', 'dukung', 'metode', 'ajar', 'klasifikasi', 'regresi']"
Manajemen Jaringan,"['manajemen', 'jaringan', 'layanan', 'koneksi', 'infrastruktur', 'jaringan', 'koneksi', 'infrastruktur', 'manajemen', 'koneksi', 'infrastruktur', 'susun', 'subnet', 'susun', 'koneksi', 'infrastruktur', 'koneksi', 'infrastruktur', 'area', 'lokal', 'virtual', 'rute', 'tata', 'manajemen', 'alamat', 'internet', 'protokol', 'rancang', 'tafsir', 'alamat', 'koneksi', 'infrastruktur', 'konfigurasi', 'sistem', 'nama', 'domain', 'analisis', 'lintas', 'koneksi', 'infrastruktur', 'data', 'histori', 'aman', 'koneksi', 'infrastruktur', 'koneksi', 'infrastruktur', 'pribadi', 'virtual', 'translasi', 'alamat', 'internet', 'protokol', 'alamat', 'internet', 'protokol', 'manajemen', 'koneksi', 'infrastruktur', 'jaringan', 'koneksi', 'infrastruktur', 'koneksi', 'infrastruktur', 'susun', 'subnet', 'infrastruktur', 'koneksi', 'susun', 'koneksi', 'infrastruktur', 'koneksi', 'infrastruktur', 'area', 'lokal', 'virtual', 'rute', 'rute', 'tata', 'manajemen', 'alamat', 'internet', 'protokol', 'rancang', 'tafsir', 'alamat', 'koneksi', 'infrastruktur', 'terjemah', 'alamat', 'port', 'konfigurasi', 'sistem', 'nama', 'domain', 'susun', 'subnet', 'layanan', 'koneksi', 'infrastruktur', 'koneksi', 'infrastruktur', 'area', 'lokal', 'virtual', 'rute', 'tata', 'manajemen', 'alamat', 'internet', 'protokol', 'tafsir', 'alamat', 'koneksi', 'infrastruktur', 'konfigurasi', 'sistem', 'nama', 'domain', 'analisis', 'lintas', 'koneksi', 'infrastruktur', 'data', 'histori', 'analisis', 'lintas', 'koneksi', 'infrastruktur', 'aman', 'koneksi', 'infrastruktur', 'aman', 'koneksi', 'infrastruktur', 'koneksi', 'infrastruktur', 'pribadi', 'virtual', 'translasi', 'internet', 'protokol', 'internet', 'protokol', 'manajemen', 'koneksi', 'infrastruktur', 'analisis', 'lintas', 'koneksi', 'infrastruktur', 'aman', 'koneksi', 'infrastruktur', 'koneksi', 'infrastruktur', 'pribadi', 'virtual', 'internet', 'protokol', 'manajemen', 'koneksi', 'infrastruktur']"
Pengolahan Sinyal Digital,"['olah', 'sinyal', 'digital', 'olah', 'sinyal', 'digital', 'proses', 'sinyal', 'digital', 'olah', 'sinyal', 'digital', 'olah', 'sinyal', 'digital', 'kembang', 'olah', 'sinyal', 'digital', 'olah', 'sinyal', 'digital', 'proses', 'sinyal', 'olah', 'sinyal', 'digital', 'sinyal', 'frekuensi', 'elemen', 'sistem', 'olah', 'sinyal', 'digital', 'aplikasi', 'olah', 'sinyal', 'digital', 'sinyal', 'diskrit', 'notasi', 'sinyal', 'diskrit', 'representasi', 'format', 'sinyal', 'diskrit', 'operasi', 'sinyal', 'diskrit', 'sistem', 'diskrit', 'linier', 'ubah', 'sistem', 'diskrit', 'sistem', 'invarian', 'linier', 'konvolusi', 'diskrit', 'sistem', 'diskrit', 'transformasi', 'sistem', 'diskrit', 'transformasi', 'transformasi', 'alih', 'sistem', 'diskrit', 'invarian', 'linier', 'metode', 'korelasi', 'bersih', 'sinyal', 'analog', 'bersih', 'sinyal', 'digital', 'metode', 'respons', 'impuls', 'rancang', 'bersih', 'sinyal', 'digital', 'metode', 'respons', 'impuls', 'transformasi', 'linier', 'rancang', 'bersih', 'sinyal', 'digital', 'metode', 'respons', 'impuls', 'bersih', 'sinyal', 'digital', 'metode', 'respons', 'impuls', 'bersih', 'gera', 'rancang', 'bersih', 'respons', 'impuls', 'metode', 'langsung', 'rancang', 'bersih', 'sinyal', 'digital', 'rancang', 'bersih', 'respons', 'impuls', 'transformasi', 'fourier', 'sinyal', 'diskrit', 'analisis', 'transformasi', 'fourier', 'transformasi', 'fourier', 'cepat', 'frekuensi', 'program', 'aritmatika', 'grafik', 'metode', 'ekspansi', 'parsial', 'metode', 'program', 'konvolusi', 'transformasi', 'program', 'program', 'konvolusi', 'program', 'transformasi', 'program', 'transformasi', 'program', 'proses', 'sinyal', 'olah', 'sinyal', 'digital', 'elektronika', 'program', 'program', 'bersih', 'sinyal', 'analog', 'program', 'transformasi', 'fourier', 'cepat', 'program', 'bersih', 'sinyal', 'digital', 'metode', 'respons', 'impuls', 'respons', 'impuls']"
Basis Data Lanjut,"['basis', 'data', 'kueri', 'sistem', 'manajemen', 'basis', 'data', 'orientasi', 'objek', 'format', 'data', 'rancang', 'sistem', 'basis', 'data', 'basis', 'data', 'ajar', 'kelas', 'basis', 'data', 'basis', 'data', 'mandiri', 'kelas', 'praktik', 'proyek', 'basis', 'data', 'perintah', 'kueri', 'sql', 'bahasa', 'kueri', 'struktur', 'sql', 'bahasa', 'kueri', 'struktur', 'prosedur', 'sistem', 'basis', 'data', 'sql', 'bahasa', 'kueri', 'struktur', 'orientasi', 'objek', 'perintah', 'sql', 'bahasa', 'kueri', 'struktur', 'sistem', 'manajemen', 'basis', 'data', 'orientasi', 'objek', 'kueri', 'orientasi', 'objek', 'perintah', 'sql', 'bahasa', 'kueri', 'struktur', 'simpan', 'data', 'non', 'sql', 'non', 'sql', 'rancang', 'sistem', 'basis', 'data', 'distribusi', 'basis', 'data', 'distribusi', 'rancang', 'basis', 'data', 'multi', 'dimensi', 'data', 'basis', 'data', 'multi', 'dimensi', 'basis', 'data', 'konkurensi', 'pulih', 'basis', 'data', 'konkurensi', 'pulih', 'konkurensi', 'pulih', 'analisis', 'potensi', 'celah', 'aman', 'basis', 'data', 'rancang', 'aman', 'aman', 'basis', 'data', 'analisis', 'potensi', 'celah', 'aman', 'aman', 'basis', 'data', 'gudang', 'data', 'gudang', 'data', 'data', 'data', 'rancang', 'basis', 'data', 'sistem', 'basis', 'data']"
Komputasi Grid,"['komputasi', 'jaringan', 'komputasi', 'komputasi', 'komputasi', 'awan', 'komputasi', 'jaringan', 'virtual', 'komputasi', 'distribusi', 'terminologi', 'sistem', 'distribusi', 'komputasi', 'paralel', 'arsitektur', 'komputasi', 'paralel', 'proses', 'distribusi', 'arsitektur', 'komputer', 'paralel', 'arsitektur', 'layanan', 'komputasi', 'awan', 'arsitektur', 'aplikasi', 'komputasi', 'jaringan', 'klaster', 'klaster', 'arsitektur', 'klaster', 'program', 'thread', 'komputasi', 'komputasi', 'komputasi', 'awan', 'komputasi', 'jaringan', 'virtual', 'komputasi', 'distribusi', 'komputasi', 'awan', 'terminologi', 'teknologi', 'sistem', 'distribusi', 'komputasi', 'paralel', 'proses', 'distribusi', 'arsitektur', 'komputer', 'paralel', 'komputasi', 'awan', 'arsitektur', 'awan', 'layanan', 'komputasi', 'awan', 'arsitektur', 'aplikasi', 'komputasi', 'jaringan', 'komputasi', 'awan', 'jaringan', 'klaster', 'klaster', 'arsitektur', 'klaster', 'program', 'thread', 'kirim', 'pesan']"
Kriptografi,"['kriptografi', 'aman', 'data', 'enkripsi', 'dekripsi', 'pesan', 'metode', 'sistem', 'kunci', 'pribadi', 'sistem', 'kunci', 'publik', 'tangan', 'digital', 'dokumen', 'rancang', 'kriptografi', 'kuantum', 'steganografi', 'sembunyi', 'data', 'digital', 'arsitektur', 'komputer', 'ajar', 'kriptografi', 'matematika', 'teori', 'bilang', 'sistem', 'kriptografi', 'pribadi', 'publik', 'aman', 'data', 'teori', 'informasi', 'kriptografi', 'tangan', 'digital', 'kembang', 'kriptografi', 'kuantum', 'steganografi', 'sembunyi', 'data', 'digital', 'matematika', 'teori', 'bilang', 'kriptografi', 'algoritma', 'kriptografi', 'klasik', 'algoritma', 'kriptografi', 'klasik', 'modern', 'algoritma', 'kunci', 'publik', 'asimetris', 'sistem', 'aman', 'teknologi', 'informasi', 'kunci', 'pribadi', 'kunci', 'publik', 'kunci', 'publik', 'sistem', 'kriptografi', 'kunci', 'publik', 'kerja', 'protokol', 'tukar', 'kunci', 'contoh', 'protokol', 'tukar', 'kunci', 'kerja', 'sistem', 'kriptografi', 'contoh', 'sistem', 'kriptografi', 'algoritma', 'kriptografi', 'kurva', 'eliptik', 'proses', 'enkripsi', 'dekripsi', 'pesan', 'wujud', 'data', 'sistem', 'aman', 'teknologi', 'informasi', 'proses', 'enkripsi', 'algoritma', 'kriptografi', 'kurva', 'eliptik', 'kripta', 'analisis', 'analisis', 'algoritma', 'kriptografi', 'kerja', 'skema', 'tangan', 'digital']"
Manajemen Sistem Informasi,"['manajemen', 'sistem', 'informasi', 'teknologi', 'sistem', 'informasi', 'infrastruktur', 'teknologi', 'informasi', 'teknologi', 'sistem', 'informasi', 'dukung', 'keputusan', 'usaha', 'desain', 'ulang', 'proses', 'bisnis', 'rancang', 'teknologi', 'sistem', 'informasi', 'sistem', 'teknologi', 'sistem', 'informasi', 'infrastruktur', 'teknologi', 'informasi', 'teknologi', 'sistem', 'informasi', 'dukung', 'keputusan', 'usaha', 'desain', 'ulang', 'proses', 'bisnis', 'rancang', 'teknologi', 'sistem', 'informasi', 'sistem', 'teknologi', 'sistem', 'informasi', 'manajemen', 'teknologi', 'sistem', 'informasi', 'kuasa', 'teknologi', 'sistem', 'informasi', 'dukung', 'keputusan', 'usaha', 'sistem', 'manajemen', 'proses', 'bisnis', 'sosial', 'etika', 'teknis', 'perangkat', 'lunak', 'simpan', 'data', 'teknologi', 'telekomunikasi', 'infrastruktur', 'teknologi', 'informasi', 'infrastruktur', 'teknologi', 'informasi', 'teknologi', 'sistem', 'informasi', 'raih', 'distribusi', 'keputusan', 'usaha', 'dukung', 'kerja', 'kolaborasi', 'kelompok', 'cerdas', 'sistem', 'dukung', 'keputusan', 'bisnis', 'sistem', 'desain', 'proses', 'bisnis', 'ubah', 'sistem', 'teknologi', 'sistem', 'informasi']"
Proyek Perangkat Lunak,"['proyek', 'perangkat', 'lunak', 'analisis', 'proyek', 'perangkat', 'lunak', 'desain', 'prototipe', 'purwarupa', 'produk', 'estimasi', 'proyek', 'perangkat', 'lunak', 'manajemen', 'proyek', 'perangkat', 'lunak', 'metode', 'rancang', 'proyek', 'perangkat', 'lunak', 'proyek', 'lapang', 'rangka', 'analisis', 'proyek', 'perangkat', 'lunak', 'desain', 'prototipe', 'purwarupa', 'produk', 'proyek', 'perangkat', 'lunak', 'gambar', 'lingkungan', 'rumus', 'spesifikasi', 'perangkat', 'lunak', 'perangkat', 'lunak', 'bentuk', 'bahasa', 'spesifikasi', 'standar', 'diagram', 'alur', 'data', 'desain', 'rancang', 'perangkat', 'lunak', 'temu', 'dokumentasi', 'rancang', 'perangkat', 'lunak', 'rancang', 'perangkat', 'lunak', 'kode', 'sumber', 'akses', 'dokumentasi', 'spesifikasi', 'perangkat', 'lunak', 'uji', 'pelihara', 'perangkat', 'lunak', 'kualitas', 'perangkat', 'lunak', 'manajemen', 'proyek', 'dokumen', 'spesifikasi']"
Expert System,"['pakar', 'sistem', 'sistem', 'pakar', 'metodologi', 'rancang', 'sistem', 'pakar', 'metode', 'basis', 'metode', 'nalar', 'posisi', 'sistem', 'pakar', 'cerdas', 'kembang', 'sistem', 'pakar', 'sistem', 'pakar', 'metodologi', 'rancang', 'sistem', 'pakar', 'pakar', 'akuisisi', 'representasi', 'metode', 'inferensi', 'metode', 'tangan', 'faktor', 'metode', 'fuzzy', 'sistem', 'pakar', 'kembang', 'sistem', 'pakar', 'sistem', 'pakar', 'komponen', 'elemen', 'manusia', 'sistem', 'pakar', 'kategori', 'problem', 'aplikasi', 'sistem', 'pakar', 'nalar', 'metode', 'metode', 'nalar', 'sistem', 'pakar', 'sistem', 'pakar', 'kandung', 'unsur', 'metode', 'rancang', 'sistem', 'pakar', 'sistem', 'pakar', 'jaringan', 'saraf', 'sistem', 'pakar', 'jaringan', 'saraf', 'sistem', 'pakar', 'gabung', 'sistem', 'inferensi', 'fuzzy', 'arsitektur', 'jaringan', 'saraf', 'sistem', 'pakar', 'algoritma', 'genetik', 'rancang', 'sistem', 'pakar', 'rancang', 'sistem', 'pakar', 'kompilator']"
Komputasi Cloud,"['komputasi', 'awan', 'teknologi', 'komputasi', 'awan', 'layanan', 'komputasi', 'awan', 'arsitektur', 'orientasi', 'layanan', 'perangkat', 'lunak', 'layanan', 'platform', 'layanan', 'infrastruktur', 'layanan', 'awan', 'komputasi', 'komputasi', 'awan', 'arsitektur', 'layanan', 'awan', 'komputasi', 'awan', 'komputasi', 'layanan', 'virtual', 'virtual', 'awan', 'komputasi', 'teknologi', 'komputasi', 'awan', 'awan', 'komputasi', 'layanan', 'komputasi', 'awan', 'awan', 'komputasi', 'arsitektur', 'elemen', 'komputasi', 'awan', 'awan', 'komputasi', 'manajemen', 'komputasi', 'awan', 'awan', 'komputasi', 'arsitektur', 'orientasi', 'layanan', 'aman', 'komputasi', 'awan', 'awan', 'komputasi', 'teknologi', 'virtual', 'komputasi', 'awan', 'awan', 'komputasi', 'teknologi', 'platform', 'komputasi', 'awan', 'awan', 'komputasi', 'strategi', 'teknologi', 'informasi', 'modern', 'aplikasi', 'adopsi', 'komputasi', 'awan', 'awan', 'komputasi', 'utilitas', 'layanan', 'web', 'analisis', 'awan', 'komputasi', 'aplikasi', 'commerce', 'kategori', 'commerce', 'rancang', 'basis', 'data', 'server', 'awan', 'manajemen', 'layanan', 'sistem', 'nama', 'domain', 'awan', 'rancang', 'web', 'portal', 'awan']"
Teknik Multimedia,"['multimedia', 'proses', 'multimedia', 'kembang', 'teknologi', 'multimedia', 'teknologi', 'mutakhir', 'replikasi', 'algoritma', 'teknologi', 'multimedia', 'ajar', 'teknologi', 'multimedia', 'teknologi', 'teori', 'kompresi', 'kode', 'gambar', 'citra', 'digital', 'kompresi', 'kode', 'gambar', 'citra', 'digital', 'standar', 'kompresi', 'gambar', 'citra', 'digital', 'standar', 'kompresi', 'gambar', 'citra', 'digital', 'ukur', 'kualitas', 'gambar', 'citra', 'video', 'ukur', 'kualitas', 'gambar', 'citra', 'video', 'olah', 'video', 'analog', 'olah', 'video', 'analog', 'olah', 'video', 'digital', 'olah', 'video', 'digital', 'standar', 'format', 'video', 'digital', 'standar', 'format', 'video', 'digital', 'olah', 'video', 'digital', 'aplikasi', 'olah', 'video', 'digital', 'aplikasi', 'rancang', 'sistem', 'kompresi', 'kode', 'citra', 'digital', 'rancang', 'ukur', 'kualitas', 'gambar', 'citra', 'video', 'rancang', 'sistem', 'olah', 'video', 'digital', 'rancang', 'sistem', 'estimasi', 'gerak', 'video']"
